url,lat,long,restaurant,grocery,cafe,park,school,hospital,parking
https://www.realtor.com/realestateandhomes-detail/M9027924414?listing_status=rental,47.623623,-122.358391,20,1,20,20,13,2,20
https://www.realtor.com/realestateandhomes-detail/M9821373960?listing_status=rental,47.698601,-122.340485,19,2,4,11,20,2,7
https://www.realtor.com/realestateandhomes-detail/M2962307634?listing_status=rental,47.683087,-122.349252,20,3,20,9,20,0,4
https://www.realtor.com/realestateandhomes-detail/M2562749747?listing_status=rental,47.630578,-122.344148,20,0,20,20,17,5,20
https://www.realtor.com/realestateandhomes-detail/M1792883466?listing_status=rental,47.637973,-122.368594,20,4,10,14,19,0,9
https://www.realtor.com/realestateandhomes-detail/M9834460954?listing_status=rental,47.709977,-122.317585,20,3,11,11,15,1,12
https://www.realtor.com/realestateandhomes-detail/M2045697942?listing_status=rental,47.634754,-122.27623,11,1,3,11,4,0,1
https://www.realtor.com/realestateandhomes-detail/M9985766672?listing_status=rental,47.698466,-122.340505,19,2,4,11,20,2,7
https://www.realtor.com/realestateandhomes-detail/M1459596472?listing_status=rental,47.673602,-122.385078,20,2,20,11,20,8,20
https://www.realtor.com/realestateandhomes-detail/M9362904621?listing_status=rental,47.697037,-122.347679,20,2,8,10,20,0,10
https://www.realtor.com/realestateandhomes-detail/M2120921556?listing_status=rental,47.621691,-122.322759,20,1,20,20,20,6,20
https://www.realtor.com/realestateandhomes-detail/M1210237639?listing_status=rental,47.652721,-122.386406,20,0,6,8,11,0,8
https://www.realtor.com/realestateandhomes-detail/M1188350271?listing_status=rental,47.687888,-122.345254,20,2,16,9,20,0,10
https://www.realtor.com/realestateandhomes-detail/M9846710915?listing_status=rental,47.569411,-122.371738,20,0,6,6,11,0,6
https://www.realtor.com/realestateandhomes-detail/M9248788419?listing_status=rental,47.624126,-122.326973,20,0,20,20,10,4,20
https://www.realtor.com/realestateandhomes-detail/M1629896235?listing_status=rental,47.527121,-122.326912,15,0,4,15,2,0,0
https://www.realtor.com/realestateandhomes-detail/M9227153193?listing_status=rental,47.617198,-122.330597,20,4,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9702517751?listing_status=rental,47.708206,-122.345581,20,1,7,11,13,8,1
https://www.realtor.com/realestateandhomes-detail/M2730808114?listing_status=rental,47.632615,-122.345648,20,2,16,20,20,5,20
https://www.realtor.com/realestateandhomes-detail/M9091071599?listing_status=rental,47.60029,-122.328034,20,9,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2303210099?listing_status=rental,47.680878,-122.304242,20,1,11,13,20,0,7
https://www.realtor.com/realestateandhomes-detail/M9921774558?listing_status=rental,47.731773,-122.295532,13,1,2,3,8,0,2
https://www.realtor.com/realestateandhomes-detail/M1892346448?listing_status=rental,47.667498,-122.382567,20,4,20,12,20,10,20
https://www.realtor.com/realestateandhomes-detail/M1736671200?listing_status=rental,47.616494,-122.32522,20,4,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M1354253173?listing_status=rental,47.619437,-122.322528,20,4,20,20,20,9,20
https://www.realtor.com/realestateandhomes-detail/M1262492468?listing_status=rental,47.612716,-122.309874,20,6,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2860976643?listing_status=rental,47.683214,-122.300995,20,1,11,9,18,0,10
https://www.realtor.com/realestateandhomes-detail/M2599778950?listing_status=rental,47.565758,-122.391197,20,3,18,7,17,4,20
https://www.realtor.com/realestateandhomes-detail/M1124883496?listing_status=rental,47.621342,-122.316054,20,4,20,20,20,3,20
https://www.realtor.com/realestateandhomes-detail/M1092189862?listing_status=rental,47.6191,-122.354516,20,3,20,20,9,4,20
https://www.realtor.com/realestateandhomes-detail/M1360276957?listing_status=rental,47.695484,-122.343519,20,1,5,8,20,0,10
https://www.realtor.com/realestateandhomes-detail/M2893545672?listing_status=rental,47.672164,-122.3887,20,0,20,13,18,8,20
https://www.realtor.com/realestateandhomes-detail/M1986587003?listing_status=rental,47.492891,-122.242105,8,1,1,2,6,1,0
https://www.realtor.com/realestateandhomes-detail/M9950522631?listing_status=rental,47.56514,-122.377953,20,3,20,7,17,4,20
https://www.realtor.com/realestateandhomes-detail/M1332007331?listing_status=rental,47.651975,-122.346343,20,2,20,15,20,6,20
https://www.realtor.com/realestateandhomes-detail/M9704626913?listing_status=rental,47.634369,-122.320358,20,2,7,20,16,0,20
https://www.realtor.com/realestateandhomes-detail/M9373083940?listing_status=rental,47.698071,-122.347061,20,2,8,10,20,0,10
https://www.realtor.com/realestateandhomes-detail/M2670393173?listing_status=rental,47.623784,-122.358399,20,1,20,20,13,2,20
